2016-12-23 01:24:01,Inne,22.3,18
2016-12-23 01:25:01,Inne,22.3,18
2016-12-23 01:26:01,Inne,22.3,18
2016-12-23 01:26:47,Ute,6.4,72
2016-12-23 01:27:01,Inne,22.3,18
2016-12-23 01:28:01,Inne,22.3,18
2016-12-23 01:29:00,Inne,22.3,18
2016-12-23 01:30:00,Inne,22.3,18
2016-12-23 01:31:00,Inne,22.3,18
2016-12-23 01:32:00,Inne,22.3,18
2016-12-23 01:34:00,Inne,22.3,18
2016-12-23 01:35:00,Inne,22.3,18
2016-12-23 01:35:59,Inne,22.3,18
2016-12-23 01:36:59,Inne,22.3,18
2016-12-23 01:37:59,Inne,22.3,18
2016-12-23 01:38:59,Inne,22.3,18
2016-12-23 01:39:59,Inne,22.3,18
2016-12-23 01:40:47,Ute,6.5,72
2016-12-23 01:40:59,Inne,22.3,18
2016-12-23 01:41:47,Ute,6.5,72
2016-12-23 01:41:59,Inne,22.3,18
2016-12-23 01:42:58,Inne,22.3,18
2016-12-23 01:43:58,Inne,22.3,18
2016-12-23 01:44:58,Inne,22.3,18
2016-12-23 01:45:58,Inne,22.3,18
2016-12-23 01:46:49,Ute,6.5,72
2016-12-23 01:46:58,Inne,22.3,18
2016-12-23 01:47:58,Inne,22.3,18
2016-12-23 01:48:58,Inne,22.3,18
2016-12-23 01:49:57,Inne,22.3,18
2016-12-23 01:50:57,Inne,22.3,18
2016-12-23 01:51:57,Inne,22.4,18
2016-12-23 01:52:57,Inne,22.3,18
2016-12-23 01:53:57,Inne,22.3,18
2016-12-23 01:54:57,Inne,22.3,18
2016-12-23 01:55:57,Inne,22.3,18
2016-12-23 01:56:56,Inne,22.3,18
2016-12-23 01:57:56,Inne,22.3,18
2016-12-23 01:58:56,Inne,22.3,18
2016-12-23 01:59:56,Inne,22.3,18
2016-12-23 02:00:56,Inne,22.3,18
2016-12-23 02:01:56,Inne,22.3,18
2016-12-23 02:02:56,Inne,22.3,18
2016-12-23 02:03:55,Inne,22.3,18
2016-12-23 02:04:55,Inne,22.3,18
2016-12-23 02:05:55,Inne,22.3,18
